Campaign_ID,Platform,Campaign_Type,Country,Device,Impressions,Clicks,Conversions,Revenue,Spend,Date,CTR,CPC,ROAS
CAMP-0001,YouTube,Email,Brazil,Tablet,15924,828,151,19083.34,7200.34,2024-01-01,0.052,8.7,2.65
CAMP-0002,LinkedIn,Email,Mexico,Tablet,77162,1022,585,4277.37,2750.52,2024-01-02,0.0132,2.69,1.56
CAMP-0003,TikTok,Email,UK,Mobile,1869,2860,273,15799.65,7310.18,2024-01-03,1.5302,2.56,2.16
CAMP-0004,LinkedIn,SEO,Spain,Mobile,98088,2173,553,15513.98,10577.42,2024-01-04,0.0222,4.87,1.47
CAMP-0005,LinkedIn,SEO,Spain,Desktop,2014,648,495,4432.81,495.37,2024-01-05,0.3217,0.76,8.95
CAMP-0006,Facebook,Organic,Brazil,Tablet,11103,3391,723,12462.41,196.2,2024-01-06,0.3054,0.06,63.52
CAMP-0007,TikTok,Ads,Germany,Tablet,83522,274,100,1056.77,1173.09,2024-01-07,0.0033,4.28,0.9
CAMP-0008,TikTok,Email,Germany,Mobile,97007,890,556,9723.13,8058.12,2024-01-08,0.0092,9.05,1.21
CAMP-0009,TikTok,Organic,Spain,Tablet,34458,1864,81,391.48,12824.1,2024-01-09,0.0541,6.88,0.03
CAMP-0010,LinkedIn,Ads,Germany,Desktop,91605,4859,528,18430.76,123.02,2024-01-10,0.053,0.03,149.82
CAMP-0011,YouTube,Influencer,Spain,Tablet,83409,1156,72,19524.11,14053.09,2024-01-11,0.0139,12.16,1.39
CAMP-0012,TikTok,SEO,Brazil,Mobile,24248,174,13,4523.43,1638.86,2024-01-12,0.0072,9.42,2.76
CAMP-0013,Twitter,Ads,Canada,Mobile,90160,3296,432,4241.31,12637.65,2024-01-13,0.0366,3.83,0.34
CAMP-0014,LinkedIn,Influencer,Spain,Desktop,44516,2981,156,15099.03,7268.68,2024-01-14,0.067,2.44,2.08
CAMP-0015,Facebook,Ads,Mexico,Desktop,30061,4175,734,5142.25,9907.39,2024-01-15,0.1389,2.37,0.52
CAMP-0016,YouTube,SEO,Germany,Tablet,25170,3021,131,17912.02,7684.71,2024-01-16,0.12,2.54,2.33
CAMP-0017,Twitter,SEO,Spain,Tablet,9024,2067,337,11521.19,7181.87,2024-01-17,0.2291,3.47,1.6
CAMP-0018,Twitter,Organic,Spain,Mobile,83214,2465,403,7080.47,12531.75,2024-01-18,0.0296,5.08,0.57
